ds,y
2014-07-06 00:00:00,112
2014-07-07 00:00:00,106
2014-07-08 00:00:00,98
2014-07-09 00:00:00,91
2014-07-10 00:00:00,102
2014-07-11 00:00:00,114
2014-07-12 00:00:00,108
2014-07-13 00:00:00,93
2014-07-14 00:00:00,107
2014-07-15 00:00:00,109
2014-07-16 00:00:00,96
2014-07-17 00:00:00,106
2014-07-18 00:00:00,104
2014-07-19 00:00:00,92
2014-07-20 00:00:00,107
2014-07-21 00:00:00,109
2014-07-22 00:00:00,114
2014-07-23 00:00:00,113
2014-07-24 00:00:00,88
2014-07-25 00:00:00,93
2014-07-26 00:00:00,107
2014-07-27 00:00:00,107
2014-07-28 00:00:00,106
2014-07-29 00:00:00,139
2014-07-30 00:00:00,106
2014-07-31 00:00:00,112
2014-08-01 00:00:00,110
2014-08-02 00:00:00,106
2014-08-03 00:00:00,96
2014-08-04 00:00:00,107
2014-08-05 00:00:00,91
2014-08-06 00:00:00,97
2014-08-07 00:00:00,94
2014-08-08 00:00:00,99
2014-08-09 00:00:00,121
2014-08-10 00:00:00,79
2014-08-11 00:00:00,105
2014-08-12 00:00:00,81
2014-08-13 00:00:00,93
2014-08-14 00:00:00,108
2014-08-15 00:00:00,98
2014-08-16 00:00:00,86
2014-08-17 00:00:00,89
2014-08-18 00:00:00,103
2014-08-19 00:00:00,89
2014-08-20 00:00:00,98
2014-08-21 00:00:00,96
2014-08-22 00:00:00,89
2014-08-23 00:00:00,117
2014-08-24 00:00:00,102
2014-08-25 00:00:00,75
2014-08-26 00:00:00,97
2014-08-27 00:00:00,88
2014-08-28 00:00:00,103
2014-08-29 00:00:00,87
2014-08-30 00:00:00,93
2014-08-31 00:00:00,99
2014-09-01 00:00:00,103
2014-09-02 00:00:00,82
2014-09-03 00:00:00,91
2014-09-04 00:00:00,89
2014-09-05 00:00:00,87
2014-09-06 00:00:00,111
2014-09-07 00:00:00,98
2014-09-08 00:00:00,81
2014-09-09 00:00:00,103
2014-09-10 00:00:00,115
2014-09-11 00:00:00,104
2014-09-12 00:00:00,78
2014-09-13 00:00:00,88
2014-09-14 00:00:00,106
2014-09-15 00:00:00,86
2014-09-16 00:00:00,97
2014-09-17 00:00:00,101
2014-09-18 00:00:00,84
2014-09-19 00:00:00,92
2014-09-20 00:00:00,61
2014-09-21 00:00:00,83
2014-09-22 00:00:00,90
2014-09-23 00:00:00,80
2014-09-24 00:00:00,109
2014-09-25 00:00:00,79
2014-09-26 00:00:00,89
2014-09-27 00:00:00,94
2014-09-28 00:00:00,157
2014-09-29 00:00:00,79
2014-09-30 00:00:00,105
2014-10-01 00:00:00,93
2014-10-02 00:00:00,83
2014-10-03 00:00:00,98
2014-10-04 00:00:00,95
2014-10-05 00:00:00,87
2014-10-06 00:00:00,94
2014-10-07 00:00:00,90
2014-10-08 00:00:00,95
2014-10-09 00:00:00,100
2014-10-10 00:00:00,110
2014-10-11 00:00:00,82
2014-10-12 00:00:00,115
2014-10-13 00:00:00,75
2014-10-14 00:00:00,93
2014-10-15 00:00:00,100
2014-10-16 00:00:00,97
2014-10-17 00:00:00,88
2014-10-18 00:00:00,93
2014-10-19 00:00:00,90
2014-10-20 00:00:00,89
2014-10-21 00:00:00,104
2014-10-22 00:00:00,99
2014-10-23 00:00:00,89
2014-10-24 00:00:00,105
2014-10-25 00:00:00,99
2014-10-26 00:00:00,104
2014-10-27 00:00:00,103
2014-10-28 00:00:00,88
2014-10-29 00:00:00,91
2014-10-30 00:00:00,105
2014-10-31 00:00:00,103
2014-11-01 00:00:00,97
2014-11-02 00:00:00,99
2014-11-03 00:00:00,111
2014-11-04 00:00:00,92
2014-11-05 00:00:00,104
2014-11-06 00:00:00,97
2014-11-07 00:00:00,97
2014-11-08 00:00:00,110
2014-11-09 00:00:00,108
2014-11-10 00:00:00,108
2014-11-11 00:00:00,113
2014-11-12 00:00:00,100
2014-11-13 00:00:00,107
2014-11-14 00:00:00,98
2014-11-15 00:00:00,104
2014-11-16 00:00:00,100
2014-11-17 00:00:00,103
2014-11-18 00:00:00,108
2014-11-19 00:00:00,94
2014-11-20 00:00:00,124
2014-11-21 00:00:00,93
2014-11-22 00:00:00,91
2014-11-23 00:00:00,115
